Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
18,2,26.079497,22.107683,1.461136
18,3,26.622865,21.901184,1.317036
18,4,27.093674,22.047461,1.648717
18,5,26.308664,22.005388,1.59316
18,6,26.328294,21.988119,1.073269
18,7,26.026007,22.942859,1.410265
18,8,26.861922,22.609068,1.026372
18,9,26.939595,22.486764,0.88953
18,10,,,
18,11,26.954547,22.887228,1.221758
18,12,26.932327,22.81334,1.270048
18,13,26.315665,22.398459,1.01939
18,14,26.971919,21.600003,0.876753
18,15,26.715514,22.436511,1.445179
18,16,25.864764,22.675391,2.014221
18,17,26.08761,21.905164,0.985094
18,18,25.585108,22.469342,2.125632
18,19,25.264669,21.87399,1.950702
18,20,26.10953,21.538811,0.987384
18,21,,,
18,22,25.417516,21.971403,1.740083
18,23,25.572614,21.677293,1.452728
18,24,,,
18,25,25.901295,21.882958,1.575783
18,26,26.791444,21.198311,1.040488
18,27,27.165676,22.309265,1.601214
19,1,23.709834,13.536839,1.215157
19,2,23.926099,13.831814,1.854234
19,3,23.825576,13.569336,2.223005
19,4,23.512946,13.865843,2.206389
19,5,23.271774,13.773331,2.055429
19,6,24.275105,14.245806,1.496624
19,7,23.595923,15.28445,1.702714
19,8,23.359206,15.341674,1.445478
19,9,22.987894,15.368792,1.740165
19,10,,,
19,11,22.2584,15.589661,1.987252
19,12,22.532493,15.100264,1.488726
19,13,23.227615,14.066146,1.99
19,14,22.976814,13.867137,1.626074
19,15,22.053278,14.646954,1.853815
19,16,21.758405,14.575901,1.748744
19,17,21.593864,14.860328,1.827238
19,18,21.536783,15.466258,1.935143
19,19,22.170634,16.232623,2.468853
19,20,22.408649,16.960989,1.645975
19,21,22.752574,17.678508,2.010778
19,22,23.169301,17.576695,2.333486
19,23,23.70528,17.252913,2.336306
19,24,,,
19,25,23.277247,16.987802,2.245784
19,26,24.310228,15.216393,2.09774
19,27,24.030921,15.936912,2.230789
20,1,21.366105,26.02229,1.106148
20,2,21.022045,26.192035,1.254378
20,3,21.274816,26.218767,1.332572
20,4,21.203777,25.790067,1.748878
20,5,21.176261,25.853848,1.934509
20,6,21.439388,25.585984,1.372704
20,7,21.30974,24.102974,1.175639
20,8,21.75818,23.901876,1.162911
20,9,21.990208,23.774246,1.351735
20,10,,,
20,11,23.014959,23.902398,1.485338
20,12,22.229644,24.288641,2.133686
20,13,21.179964,24.880114,0.922935
20,14,21.18125,25.638061,1.103162
20,15,21.449878,24.67541,1.807093
20,16,21.129386,24.653394,2.04851
20,17,21.553476,24.488491,2.065652
20,18,21.686667,24.001867,1.746254
20,19,22.009172,23.263466,2.177691
20,20,22.416993,23.432254,1.936664
20,21,22.221891,23.993755,2.368764
20,22,21.91692,25.194842,2.009655
20,23,21.670138,25.706255,2.353058
20,24,,,
20,25,22.136183,25.606982,2.296228
20,26,21.962043,25.577051,1.289202
20,27,21.401367,25.353497,2.031058
21,1,23.228944,11.949261,3.098753
21,2,24.120167,11.139366,2.84513
21,3,23.632088,10.615413,2.78342
21,4,24.088239,10.245806,2.323076
21,5,23.639787,10.31173,2.30159
21,6,23.774874,11.207336,2.666194
21,7,23.39906,12.518814,3.576234
21,8,23.17421,13.092325,3.243058
21,9,23.396817,13.168815,2.836957
21,10,,,
21,11,24.031992,13.061566,2.950828
21,12,25.136632,11.589711,2.38729
21,13,24.151492,11.43887,3.533782
21,14,23.947415,12.317479,3.6399
21,15,24.318599,12.307817,2.848783
21,16,24.58424,12.250378,2.8334
21,17,24.332273,12.423744,2.851251
21,18,24.115139,13.151042,2.835709
21,19,23.915202,13.644569,2.932698
21,20,23.643529,13.418279,2.362574
21,21,23.580349,14.010344,2.775521
21,22,24.097451,13.959519,3.098499
21,23,24.677713,13.416839,2.617782
21,24,,,
21,25,24.811436,11.85178,2.034472
21,26,24.761532,10.769872,1.57549
21,27,24.397518,11.971054,2.048546
22,1,24.257857,20.693572,1.037802
22,2,24.41338,20.592769,1.766581
22,3,,,
22,4,25.126477,20.335147,1.853877
22,5,25.248522,20.602907,2.298302
22,6,23.910923,21.924639,1.094621
22,7,24.281474,21.629096,1.176122
22,8,24.963368,20.669975,1.409588
22,9,24.911749,20.413345,1.506935
22,10,,,
22,11,23.863411,19.609153,1.989651
22,12,24.415375,20.792253,2.082514
22,13,25.09563,20.727723,1.311982
22,14,25.593621,21.254817,1.423354
22,15,26.24531,21.210563,1.994949
22,16,26.118339,21.471262,2.558007
22,17,25.685512,21.004654,2.312233
22,18,25.707348,20.4191,2.24291
22,19,25.259599,20.052292,1.95056
22,20,24.553979,18.758051,2.056052
22,21,24.252998,18.242375,2.041744
22,22,23.857327,18.283326,2.894333
22,23,23.957688,18.675583,2.139635
22,24,,,
22,25,25.29011,20.675928,2.720813
22,26,26.013846,21.694443,1.772442
22,27,25.294326,21.750138,2.23619
23,1,22.847232,22.901362,3.513272
23,2,22.983977,22.558168,3.123075
23,3,23.400403,22.123796,2.821042
23,4,23.725152,21.954402,2.553391
23,5,23.700035,22.330072,2.153464
23,6,22.44277,22.613435,3.173579
23,7,,,
23,8,21.510878,22.934451,2.2357
23,9,21.649093,22.825199,2.563967
23,10,,,
23,11,22.098432,22.433075,2.474885
23,12,21.87022,22.706329,2.328919
23,13,21.80587,22.919426,3.2352
23,14,21.716541,22.932409,3.887206
